stimulus_id	source	license	filename	sha256	duration_s	resolution	fps	codec	audio	presentation_duration_s
VID021	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID021.spec.json	31deac1a2be3c901685315c1b20e4e9b33867c02b0bafd4519e76f91ccae3960	4.0	1280x720	30	h264	none	4.0
VID022	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID022.spec.json	67d84b6ea433647a332bc7976a74efeac9c58f38561a22be152df929c60a6d55	4.0	1280x720	30	h264	none	4.0
VID023	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID023.spec.json	e0d03e08eab1d89e746c458ddf6680f93ce334f6391b922f33895792bbdf10de	4.0	1280x720	30	h264	none	4.0
VID024	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID024.spec.json	d95d31db503f76935aa930863401a9b8e8760d87ea29abfbeed5ccb25918b791	4.0	1280x720	30	h264	none	4.0
VID025	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID025.spec.json	39a9af61855fe31c6cdd218c109339efa50d4059fe29bc4d0ba7b06783241d76	4.0	1280x720	30	h264	none	4.0
VID026	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID026.spec.json	91dad9ce98f856f8246ccdb978b2c7a5f3416a334cc51cc61c719e1c8ab2d26c	4.0	1280x720	30	h264	none	4.0
VID027	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID027.spec.json	852388798654325ae9df34c9d18b1d4aaad55c2684628c1c407d6493f13539d1	4.0	1280x720	30	h264	none	4.0
VID028	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID028.spec.json	739af0bc350c89315f6d056579d54d0d38c677211cbdaa3de7d8af6247c71952	4.0	1280x720	30	h264	none	4.0
VID029	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID029.spec.json	3d94b767d7532f1478f72d626d47d8a1d04d57f7b4ffab5d941baf16d851cb77	4.0	1280x720	30	h264	none	4.0
VID030	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID030.spec.json	ddcbe6a8220add545f7bc32390fed09750c2a46d4973e60eaf1ceb82a5f10c88	4.0	1280x720	30	h264	none	4.0
VID031	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID031.spec.json	92bf74c398c26853c53aadc76a6c8c2a0111cd774e85437219f109faa64fe1b1	4.0	1280x720	30	h264	none	4.0
VID032	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID032.spec.json	579657970309896c89a846ed7d13688b7a154a12c0c6e460ae619df451348ce2	4.0	1280x720	30	h264	none	4.0
VID033	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID033.spec.json	10d0f2ae5b1aa662dba2821d44b2ff267128772a0865f6ba3690d815acd91c96	4.0	1280x720	30	h264	none	4.0
VID034	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID034.spec.json	14c2754998ba82f55bf2f6ba16d83ee542b38879be3a89e86ffa1a29201f9a8a	4.0	1280x720	30	h264	none	4.0
VID035	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID035.spec.json	879ab677b7fc433a2e4b8713313d077222d42db95833a5e734fa44851b197025	4.0	1280x720	30	h264	none	4.0
VID036	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID036.spec.json	04b4a6344015b9045682b862f947f3ad069c495040c654b443a0a0c9ad057452	4.0	1280x720	30	h264	none	4.0
VID037	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID037.spec.json	df48cae3bca2bc06ebdf7d429c8447f6f13ae06fb15ef75a808f1fbe4f85911c	4.0	1280x720	30	h264	none	4.0
VID038	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID038.spec.json	752c7b979de7497d615afb3a932144ca06ff3269a55e8b48b07b2e6b728e1b2e	4.0	1280x720	30	h264	none	4.0
VID039	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID039.spec.json	a24ca6ae15aa0b27b655aff078db2a4d9082a4eb87cb5853e20390a563a4f86e	4.0	1280x720	30	h264	none	4.0
VID040	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID040.spec.json	141074087f5e0e787e9d1c6ee796e97c35f2c118a4a5d1e3b5cbe7498d498bfb	4.0	1280x720	30	h264	none	4.0
VID041	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID041.spec.json	54b1d27fba7227c4b496ab2603826f58964c7150540b0f1bef41ff04b7c1c816	4.0	1280x720	30	h264	none	4.0
VID042	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID042.spec.json	4d964779ed7cb36c4e6d391a5542be7b3ff53edbefa5484d0289fbba6eefa08f	4.0	1280x720	30	h264	none	4.0
VID043	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID043.spec.json	e3cab62ad2ef208b185d0dfe8bdb439a055f5ea1f07691515a12d5209cdbf5e7	4.0	1280x720	30	h264	none	4.0
VID044	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID044.spec.json	f4f0a2af22bcf862533031df0e6ae57170acb6f098827c4d079eebfe25648098	4.0	1280x720	30	h264	none	4.0
VID045	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID045.spec.json	a2a4fca0efe209aece6d502bd8940a93763d499460cb865ef738d3572bda6ef7	4.0	1280x720	30	h264	none	4.0
VID046	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID046.spec.json	02928ce8011ed216f1b0700c220ea533ca69cd4189dfa1a5220e9c6c5044cb95	4.0	1280x720	30	h264	none	4.0
VID047	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID047.spec.json	b1799a99777e9c5fdc2729a170362998378189c8794080082881e81d7b765812	4.0	1280x720	30	h264	none	4.0
VID048	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID048.spec.json	76b05f688b23a52fcc0a8685558c4b634618f91fed071411b31655529aa5c24e	4.0	1280x720	30	h264	none	4.0
VID049	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID049.spec.json	23579f489dd3967095e571022dd7f38c5abb39c7f86aa552e76a539ff3e26d93	4.0	1280x720	30	h264	none	4.0
VID050	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID050.spec.json	492414f9a6c18616cf8ec115b7e957c31683d4d6a93d2ddb4526e6d7e43b004e	4.0	1280x720	30	h264	none	4.0
VID051	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID051.spec.json	e988b26578e5e0884b6a4ea8675b9987e52a5f96fb1ffef22658eb97a58184b6	4.0	1280x720	30	h264	none	4.0
VID052	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID052.spec.json	d0631e350f0420fc6385f1405144ffb863f04e7ba112f15ea0114d878cd2d83e	4.0	1280x720	30	h264	none	4.0
VID053	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID053.spec.json	ce03ab349aaf5d3e5197b9ddd9dd62af1e3992c67b4ba04db323653879de04df	4.0	1280x720	30	h264	none	4.0
VID054	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID054.spec.json	e37fc8c9404c746d483636f3f418ebe8cfaf49f9dd89c6b5a13e2d2644303ca8	4.0	1280x720	30	h264	none	4.0
VID055	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID055.spec.json	6f5bc3123a69629a705937ea954de9d55f4861d82b74a71193ab1ebbb9c66722	4.0	1280x720	30	h264	none	4.0
VID056	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID056.spec.json	6cf32ba6285a54e6c4ded63df5442159c515d07d2848367132e13dcd0204dbbf	4.0	1280x720	30	h264	none	4.0
VID057	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID057.spec.json	40692cac0e656e4b7a114e63c18f377ebd6382330e5999ab8abf325c15399de2	4.0	1280x720	30	h264	none	4.0
VID058	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID058.spec.json	0b7ff02daa66faa4619dd3b3c77f5be99aea9b614e086e4cdc03af9890a9b45a	4.0	1280x720	30	h264	none	4.0
VID059	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID059.spec.json	7d620204859425241308a895be9012b14e66e1699871967b6eb5e73ccd48af61	4.0	1280x720	30	h264	none	4.0
VID060	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID060.spec.json	0dfaf87ad34e05ef5cdd0c42790f45b59c3d0caa6f5a972f0dde37a592604e92	4.0	1280x720	30	h264	none	4.0
VID061	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID061.spec.json	dfb3bb9a9dcfdf27a8dfee50fc05809c344cdf65f6d324ce2be4bf67564efc39	4.0	1280x720	30	h264	none	4.0
VID062	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID062.spec.json	0dbe4232274d321b927d887ffa52da71a3a879ef68989e89f15751b656a8139b	4.0	1280x720	30	h264	none	4.0
VID063	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID063.spec.json	56ceed8fdf8ec3a0d69dc4301450cb3fc6136b6b0eaec3f99d7a89de98d75e15	4.0	1280x720	30	h264	none	4.0
VID064	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID064.spec.json	5d8ce4f83bdad1fabad4078dd14f8e843b5ea7b3223dcec1969eafb69ddc741d	4.0	1280x720	30	h264	none	4.0
VID065	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID065.spec.json	18851915ade011d7b5abe49d940745e9ee1b0e453a5beb1dc51adf98c555bc98	4.0	1280x720	30	h264	none	4.0
VID066	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID066.spec.json	aa1b776f4c1a4c7931331d47fb46ed71e3c67258928e9551d68cf0739bfde36f	4.0	1280x720	30	h264	none	4.0
VID067	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID067.spec.json	fd18104bfb06a3fb696370ff009a6f5b55fd77fff2128a08191345c9a95986e9	4.0	1280x720	30	h264	none	4.0
VID068	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID068.spec.json	a1b2f2f643d9e1a2a745f67c56ac7daa4264f458fc4f0581c429e2a6f01c0a8e	4.0	1280x720	30	h264	none	4.0
VID069	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID069.spec.json	c61e02b8432b1a3dcc3220f0623e495e69a1f52551c1a7523d2bc7f13df9c65b	4.0	1280x720	30	h264	none	4.0
VID070	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID070.spec.json	0b2bb547c14d2fbffe2c1d1f7024d6c347373794515d453657157d77733cdef9	4.0	1280x720	30	h264	none	4.0
VID071	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID071.spec.json	c9adda0cfdad46b6c7da6ae2005f2c57c32efbb4f463b2453bad2c63e7629031	4.0	1280x720	30	h264	none	4.0
VID072	purpose_created_proxy	CC0-1.0 (own work / purpose-created)	proxy/VID072.spec.json	34d2087ffda111ff5acea9b920da0263763bd528a928fa2c230f69323480ecdf	4.0	1280x720	30	h264	none	4.0
